Number,Latit,Long,Time,Marsh
2190, 55.836058, 49.121667,12:58:40, 18
2761, 55.794425, 49.172503,12:58:43, 18
2453, 55.770048, 49.176908,12:58:56, 18
2425, 55.834787, 49.090378,12:58:52, 18
2767, 55.800675, 49.181442,12:58:52, 18
2465, 55.769743, 49.231867,12:58:55, 18
2736, 55.752382, 49.230267,12:58:49, 18
2706, 55.86024, 49.097308,12:58:36, 18
2149, 55.829422, 49.083033,12:58:44, 18
2466, 55.865328, 49.07904,12:58:46, 18
2116, 55.745733, 49.215983,12:58:56, 18
2429, 55.8359, 49.10354,12:58:56, 18
2747, 55.767613, 49.178668,12:58:49, 18
2470, 55.788733, 49.225655,12:58:38, 18
2164, 55.854355, 49.086488,12:59:51, 18
2715, 55.768053, 49.231485,12:59:56, 18
2434, 55.831267, 49.147513,12:59:54, 18
2454, 55.835863, 49.136517,12:59:48, 18
2748, 55.819645, 49.175328,12:59:54, 18
2464, 55.788182, 49.171002,12:59:48, 18
2436, 55.816177, 49.181157,12:59:51, 18
2156, 55.854338, 49.08434,12:59:54, 18
2423, 55.792547, 49.229558,12:59:43, 18
2761, 55.795583, 49.174155,12:59:43, 18
2453, 55.771525, 49.175637,12:59:47, 18
2190, 55.836052, 49.114027,12:59:40, 18
2425, 55.834787, 49.090363,12:59:51, 18
2465, 55.772312, 49.231932,12:59:54, 18
2767, 55.798433, 49.177842,12:59:53, 18
2736, 55.749823, 49.225688,12:59:54, 18
2149, 55.83013, 49.088118,12:59:45, 18
2706, 55.860853, 49.093473,12:59:37, 18
2466, 55.863292, 49.078458,12:59:46, 18
2116, 55.745532, 49.21633,12:59:56, 18
2429, 55.835953, 49.106287,12:59:56, 18
2747, 55.766545, 49.180142,12:59:48, 18
2470, 55.7879, 49.230085,12:59:37, 18
2164, 55.854355, 49.086488,12:59:51, 18
2434, 55.831267, 49.147513,12:59:54, 18
2715, 55.768053, 49.231485,12:59:56, 18
2454, 55.835863, 49.136517,12:59:48, 18
2748, 55.819645, 49.175328,12:59:54, 18
2464, 55.788182, 49.171002,12:59:48, 18
2436, 55.816177, 49.181157,12:59:51, 18
2156, 55.854338, 49.08434,12:59:54, 18
2761, 55.795583, 49.174155,12:59:43, 18
2423, 55.792547, 49.229558,12:59:43, 18
2190, 55.836052, 49.114027,12:59:40, 18
2453, 55.771525, 49.175637,12:59:47, 18
2425, 55.834787, 49.090363,12:59:51, 18
2465, 55.772312, 49.231932,12:59:54, 18
2736, 55.749823, 49.225688,12:59:54, 18
2149, 55.83013, 49.088118,12:59:45, 18
2767, 55.798433, 49.177842,12:59:53, 18
2706, 55.860853, 49.093473,12:59:37, 18
2116, 55.745532, 49.21633,12:59:56, 18
2466, 55.863292, 49.078458,12:59:46, 18
2747, 55.766545, 49.180142,12:59:48, 18
2429, 55.835953, 49.106287,12:59:56, 18
2470, 55.7879, 49.230085,12:59:37, 18
2454, 55.835908, 49.13861,13:00:49, 18
2715, 55.766163, 49.231468,13:00:56, 18
2164, 55.854617, 49.090863,13:00:57, 18
2434, 55.835368, 49.147465,13:00:50, 18
2748, 55.81784, 49.177875,13:00:39, 18
2464, 55.785717, 49.170985,13:00:49, 18
2436, 55.819458, 49.183197,13:00:52, 18
2156, 55.854115, 49.08432,13:00:37, 18
2761, 55.796797, 49.175945,13:00:42, 18
2190, 55.836058, 49.106633,13:00:39, 18
2423, 55.792547, 49.229558,13:00:42, 18
2453, 55.777203, 49.174262,13:00:56, 18
2425, 55.832763, 49.090753,13:00:52, 18
2465, 55.77507, 49.231803,13:00:55, 18
2736, 55.747922, 49.222195,13:00:53, 18
2149, 55.830522, 49.091005,13:00:45, 18
2706, 55.862297, 49.085512,13:00:53, 18
2767, 55.795682, 49.173877,13:00:53, 18
2116, 55.745463, 49.217895,13:00:56, 18
2747, 55.765807, 49.181438,13:00:49, 18
2466, 55.862388, 49.083882,13:00:45, 18
2429, 55.835898, 49.112603,13:00:56, 18
2470, 55.784928, 49.232987,13:00:39, 18
2454, 55.83588, 49.146568,13:01:49, 18
2164, 55.855512, 49.097405,13:01:36, 18
2715, 55.76545, 49.231552,13:01:55, 18
2434, 55.836075, 49.145862,13:01:49, 18
2748, 55.814757, 49.179212,13:01:40, 18
2436, 55.821075, 49.183077,13:01:52, 18
2156, 55.849537, 49.083912,13:01:36, 18
2464, 55.783067, 49.17064,13:01:49, 18
2761, 55.797887, 49.1775,13:01:43, 18
2190, 55.836073, 49.10235,13:01:40, 18
2453, 55.779812, 49.172317,13:01:36, 18
2423, 55.792547, 49.229558,13:01:43, 18
2425, 55.831583, 49.091313,13:01:52, 18
2736, 55.745808, 49.218263,13:01:54, 18
2465, 55.776148, 49.234965,13:01:55, 18
2149, 55.831123, 49.09176,13:01:44, 18
2706, 55.863953, 49.086273,13:01:52, 18
2767, 55.794243, 49.171898,13:01:52, 18
2747, 55.763157, 49.18598,13:01:49, 18
2116, 55.746177, 49.219145,13:01:55, 18
2466, 55.861693, 49.08827,13:01:46, 18
2429, 55.835908, 49.11849,13:01:55, 18
2470, 55.783405, 49.234342,13:01:44, 18
2434, 55.836075, 49.145862,13:01:49, 18
2436, 55.821075, 49.183077,13:01:52, 18
2748, 55.814757, 49.179212,13:01:40, 18
2454, 55.83588, 49.146568,13:01:49, 18
2164, 55.855512, 49.097405,13:01:36, 18
2464, 55.783067, 49.17064,13:01:49, 18
2156, 55.849537, 49.083912,13:01:36, 18
2190, 55.836073, 49.10235,13:01:40, 18
2715, 55.76545, 49.231552,13:01:55, 18
2761, 55.797887, 49.1775,13:01:43, 18
2453, 55.779812, 49.172317,13:01:36, 18
2423, 55.792547, 49.229558,13:01:43, 18
2425, 55.831583, 49.091313,13:01:52, 18
2736, 55.745808, 49.218263,13:01:54, 18
2465, 55.776148, 49.234965,13:01:55, 18
2149, 55.831123, 49.09176,13:01:44, 18
2747, 55.763157, 49.18598,13:01:49, 18
2706, 55.863953, 49.086273,13:01:52, 18
2116, 55.746177, 49.219145,13:01:55, 18
2767, 55.794243, 49.171898,13:01:52, 18
2466, 55.861693, 49.08827,13:01:46, 18
2470, 55.783405, 49.234342,13:01:44, 18
2429, 55.835908, 49.11849,13:01:55, 18
2436, 55.81982, 49.181823,13:02:51, 18
2434, 55.83609, 49.138212,13:02:50, 18
2748, 55.8133, 49.180422,13:02:40, 18
2454, 55.835492, 49.147327,13:02:48, 18
2164, 55.856428, 49.10136,13:02:37, 18
2464, 55.779733, 49.171993,13:02:48, 18
2156, 55.8452, 49.084453,13:02:57, 18
2190, 55.836073, 49.10235,13:02:40, 18
2715, 55.76304, 49.231388,13:02:56, 18
2453, 55.7845, 49.170997,13:02:54, 18
2761, 55.801063, 49.182942,13:02:43, 18
2736, 55.747872, 49.212942,13:02:54, 18
2423, 55.792547, 49.229558,13:02:43, 18
2425, 55.830195, 49.086885,13:02:50, 18
2149, 55.83433, 49.090122,13:02:45, 18
2747, 55.76154, 49.18882,13:02:48, 18
2465, 55.780202, 49.236253,13:02:54, 18
2116, 55.748873, 49.224202,13:02:56, 18
2706, 55.865082, 49.079425,13:02:57, 18
2767, 55.793122, 49.17142,13:02:53, 18
2466, 55.861107, 49.091498,13:02:46, 18
2470, 55.780613, 49.236247,13:02:38, 18
2429, 55.83591, 49.120007,13:02:56, 18
2436, 55.81982, 49.181823,13:02:51, 18
2434, 55.83609, 49.138212,13:02:50, 18
2748, 55.8133, 49.180422,13:02:40, 18
2454, 55.835492, 49.147327,13:02:48, 18
2164, 55.856428, 49.10136,13:02:37, 18
2464, 55.779733, 49.171993,13:02:48, 18
2156, 55.8452, 49.084453,13:02:57, 18
2453, 55.7845, 49.170997,13:02:54, 18
2190, 55.836073, 49.10235,13:02:40, 18
2715, 55.76304, 49.231388,13:02:56, 18
2761, 55.801063, 49.182942,13:02:43, 18
2736, 55.747872, 49.212942,13:02:54, 18
2425, 55.830195, 49.086885,13:02:50, 18
2423, 55.792547, 49.229558,13:02:43, 18
2747, 55.76154, 49.18882,13:02:48, 18
2149, 55.83433, 49.090122,13:02:45, 18
2465, 55.780202, 49.236253,13:02:54, 18
2116, 55.748873, 49.224202,13:02:56, 18
2706, 55.865082, 49.079425,13:02:57, 18
2466, 55.861107, 49.091498,13:02:46, 18
2767, 55.793122, 49.17142,13:02:53, 18
2470, 55.780613, 49.236247,13:02:38, 18
2429, 55.83591, 49.120007,13:02:56, 18
2436, 55.816858, 49.179965,13:03:52, 18
2434, 55.836083, 49.134493,13:03:50, 18
2748, 55.810638, 49.181703,13:03:40, 18
2454, 55.83189, 49.147387,13:03:49, 18
2164, 55.858348, 49.106068,13:03:52, 18
2464, 55.775623, 49.174647,13:03:47, 18
2156, 55.841607, 49.082325,13:03:56, 18
2190, 55.83579, 49.098575,13:03:40, 18
2715, 55.76181, 49.231393,13:03:56, 18
2453, 55.786718, 49.171262,13:03:56, 18
2761, 55.802013, 49.184715,13:03:42, 18
2736, 55.750227, 49.208738,13:03:53, 18
2425, 55.829795, 49.081375,13:03:52, 18
2423, 55.792547, 49.229558,13:03:42, 18
2747, 55.75874, 49.19358,13:03:49, 18
2116, 55.751685, 49.22962,13:03:56, 18
2149, 55.834743, 49.090777,13:03:45, 18
2706, 55.866562, 49.079738,13:03:37, 18
2465, 55.783218, 49.234678,13:03:55, 18
2466, 55.860328, 49.09629,13:03:45, 18
2767, 55.790252, 49.171237,13:03:53, 18
2429, 55.835888, 49.125273,13:03:56, 18
2470, 55.780022, 49.236147,13:03:42, 18
2434, 55.836083, 49.134493,13:03:50, 18
2164, 55.858348, 49.106068,13:03:52, 18
2748, 55.810638, 49.181703,13:03:40, 18
2464, 55.775623, 49.174647,13:03:47, 18
2436, 55.816858, 49.179965,13:03:52, 18
2454, 55.83189, 49.147387,13:03:49, 18
2156, 55.841607, 49.082325,13:03:56, 18
2190, 55.83579, 49.098575,13:03:40, 18
2715, 55.76181, 49.231393,13:03:56, 18
2453, 55.786718, 49.171262,13:03:56, 18
2736, 55.750227, 49.208738,13:03:53, 18
2761, 55.802013, 49.184715,13:03:42, 18
2425, 55.829795, 49.081375,13:03:52, 18
2423, 55.792547, 49.229558,13:03:42, 18
2116, 55.751685, 49.22962,13:03:56, 18
2747, 55.75874, 49.19358,13:03:49, 18
2149, 55.834743, 49.090777,13:03:45, 18
2706, 55.866562, 49.079738,13:03:37, 18
2465, 55.783218, 49.234678,13:03:55, 18
2466, 55.860328, 49.09629,13:03:45, 18
2767, 55.790252, 49.171237,13:03:53, 18
2470, 55.780022, 49.236147,13:03:42, 18
2429, 55.835888, 49.125273,13:03:56, 18
2434, 55.836075, 49.134415,13:04:49, 18
2748, 55.80873, 49.18262,13:04:39, 18
2164, 55.859065, 49.10348,13:04:36, 18
2464, 55.774637, 49.174827,13:04:49, 18
2436, 55.819162, 49.176675,13:04:52, 18
2454, 55.830987, 49.147362,13:04:49, 18
2156, 55.83922, 49.080857,13:04:36, 18
2190, 55.834897, 49.090425,13:04:39, 18
2715, 55.75649, 49.231265,13:04:55, 18
2453, 55.787853, 49.171357,13:04:55, 18
2761, 55.803227, 49.185583,13:04:52, 18
2736, 55.75348, 49.203215,13:04:54, 18
2423, 55.792547, 49.229558,13:04:43, 18
2116, 55.754937, 49.231437,13:04:55, 18
2425, 55.833132, 49.080633,13:04:52, 18
2747, 55.756302, 49.197707,13:04:49, 18
2465, 55.785037, 49.232973,13:04:55, 18
2149, 55.835295, 49.095452,13:04:44, 18
2466, 55.859637, 49.100297,13:04:46, 18
2706, 55.869623, 49.081213,13:04:36, 18
